fragments,amf_species,abundance
Chawia,Acaulospora laevis,36
Chawia,Acaulospora laevis,30
Chawia,Acaulospora laevis,32
Chawia,Ethrophospora sp1,1
Chawia,Ethrophospora sp1,1
Chawia,Ethrophospora sp1,1
Chawia,Paraglomus sp1,1
Chawia,Paraglomus sp1,1
Chawia,Paraglomus sp1,0
Chawia,Acaulospora scrobiculata,2
Chawia,Acaulospora scrobiculata,1
Chawia,Acaulospora scrobiculata,1
Chawia,Acaulospora cavemata,2
Chawia,Acaulospora cavemata,3
Chawia,Acaulospora cavemata,2
Chawia,Acaulospora sp1,2
Chawia,Acaulospora sp1,1
Chawia,Acaulospora sp1,1
Chawia,Gigaspora margarita,2
Chawia,Gigaspora margarita,1
Chawia,Gigaspora margarita,1
Chawia,Glomus sp1,20
Chawia,Glomus sp1,20
Chawia,Glomus sp1,18
Chawia,Glomus sp2,10
Chawia,Glomus sp2,11
Chawia,Glomus sp2,8
Chawia,Glomus sp3,4
Chawia,Glomus sp3,5
Chawia,Glomus sp3,2
Chawia,Glomus sp4,2
Chawia,Glomus sp4,2
Chawia,Glomus sp4,3
Chawia,Diversisporales sp1,1
Chawia,Diversisporales sp1,1
Chawia,Diversisporales sp1,0
Chawia,Diversisporales sp2,1
Chawia,Diversisporales sp2,1
Chawia,Diversisporales sp2,1
Chawia,Gigasporales sp2,2
Chawia,Gigasporales sp2,2
Chawia,Gigasporales sp2,1
Chawia,Gigaspora sp1,2
Chawia,Gigaspora sp1,2
Chawia,Gigaspora sp1,2
Chawia,Gigaspora sp2,2
Chawia,Gigaspora sp2,1
