fragments,amf_species,abundance
Chawia,Acaulospora laevis,36
Chawia,Acaulospora laevis,30
Chawia,Acaulospora laevis,32
Chawia,Ethrophospora sp1,1
Chawia,Ethrophospora sp1,1
Chawia,Ethrophospora sp1,1
Chawia,Paraglomus sp1,1
Chawia,Paraglomus sp1,1
Chawia,Paraglomus sp1,0
Chawia,Acaulospora scrobiculata,2
Chawia,Acaulospora scrobiculata,1
Chawia,Acaulospora scrobiculata,1
Chawia,Acaulospora cavemata,2
Chawia,Acaulospora cavemata,3
Chawia,Acaulospora cavemata,2
Chawia,Acaulospora sp1,2
Chawia,Acaulospora sp1,1
Chawia,Acaulospora sp1,1
Chawia,Gigaspora margarita,2
Chawia,Gigaspora margarita,1
Chawia,Gigaspora margarita,1
Chawia,Glomus sp1,20
Chawia,Glomus sp1,20
Chawia,Glomus sp1,18
Chawia,Glomus sp2,10
Chawia,Glomus sp2,11
Chawia,Glomus sp2,8
Chawia,Glomus sp3,4
Chawia,Glomus sp3,5
Chawia,Glomus sp3,2
Chawia,Glomus sp4,2
Chawia,Glomus sp4,2
Chawia,Glomus sp4,3
Chawia,Diversisporales sp1,1
Chawia,Diversisporales sp1,1
Chawia,Diversisporales sp1,0
Chawia,Diversisporales sp2,1
Chawia,Diversisporales sp2,1
Chawia,Diversisporales sp2,1
Chawia,Gigasporales sp2,2
Chawia,Gigasporales sp2,2
Chawia,Gigasporales sp2,1
Chawia,Gigaspora sp1,2
Chawia,Gigaspora sp1,2
Chawia,Gigaspora sp1,2
Chawia,Gigaspora sp2,2
Chawia,Gigaspora sp2,1
Chawia,Gigaspora sp2,2
Ngangao,Acaulospora laevis,18
Ngangao,Acaulospora laevis,16
Ngangao,Acaulospora laevis,16
Ngangao,Ethrophospora sp1,2
Ngangao,Ethrophospora sp1,3
Ngangao,Ethrophospora sp1,4
Ngangao,Paraglomus sp1,2
Ngangao,Paraglomus sp1,1
Ngangao,Paraglomus sp1,1
Ngangao,Acaulospora foveata,2
Ngangao,Acaulospora foveata,1
Ngangao,Acaulospora foveata,2
Ngangao,Acaulospora sp1,2
Ngangao,Acaulospora sp1,0
Ngangao,Acaulospora sp1,0
Ngangao,Acaulospora denticulata,2
Ngangao,Acaulospora denticulata,1
Ngangao,Acaulospora denticulata,0
Ngangao,Archaeospora sp2,1
Ngangao,Archaeospora sp2,1
Ngangao,Archaeospora sp2,0
Ngangao,Gigaspora margarita,2
Ngangao,Gigaspora margarita,2
Ngangao,Gigaspora margarita,1
Ngangao,Glomus sp1,4
Ngangao,Glomus sp1,4
Ngangao,Glomus sp1,3
Ngangao,Glomus sp2,5
Ngangao,Glomus sp2,6
Ngangao,Glomus sp2,6
Ngangao,Glomus sp4,2
Ngangao,Glomus sp4,3
Ngangao,Glomus sp4,3
Ngangao,Glomus sp5,2
Ngangao,Glomus sp5,0
Ngangao,Glomus sp5,0
Ngangao,Gigasporales sp1,2
Ngangao,Gigasporales sp1,2
Ngangao,Gigasporales sp1,2
Ngangao,Dentiscutata sp,2
Ngangao,Dentiscutata sp,0
Ngangao,Dentiscutata sp,0
Fururu,Acaulospora laevis,15
Fururu,Acaulospora laevis,10
Fururu,Acaulospora laevis,13
Fururu,Paraglomus sp1,9
Fururu,Paraglomus sp1,10
Fururu,Paraglomus sp1,7
Fururu,Acaulospora scrobiculata,2
Fururu,Acaulospora scrobiculata,1
Fururu,Acaulospora scrobiculata,1
Fururu,Acaulospora cavemata,2
Fururu,Acaulospora cavemata,1
Fururu,Acaulospora cavemata,2
Fururu,Acaulospora sp1,2
Fururu,Acaulospora sp1,2
Fururu,Acaulospora sp1,2
Fururu,Acaulospora sp2,2
Fururu,Acaulospora sp2,1
Fururu,Acaulospora sp2,1
Fururu,Acaulospora sp3,2
Fururu,Acaulospora sp3,1
Fururu,Acaulospora sp3,0
Fururu,Gigaspora margarita,1
Fururu,Gigaspora margarita,1
Fururu,Gigaspora margarita,1
Fururu,Glomus sp1,2
Fururu,Glomus sp1,2
Fururu,Glomus sp1,3
Fururu,Glomus sp2,5
Fururu,Glomus sp2,6
Fururu,Glomus sp2,3
